Rowid_,FIPS,COUNT,AREA,MEAN
,1001,20,0.138888888888873,88.181572723388669
,1003,55,0.381944444444401,81.140722023357043
,1005,33,0.229166666666641,87.982463027491718
,1007,21,0.145833333333317,10.687412398202079
,1009,23,0.159722222222204,14.668802468673043
,1011,22,0.152777777777760,88.119299455122515
,1013,32,0.222222222222197,26.545568212866783
,1015,22,0.152777777777760,85.525996988469899
,1017,19,0.131944444444429,45.867516944282933
,1019,21,0.145833333333317,85.637956687382285
,1021,27,0.187499999999979,88.379136827256943
,1023,35,0.243055555555528,6.089579568590437
,1025,42,0.291666666666633,52.587112574350265
,1027,22,0.152777777777760,55.548693115060978
,1029,19,0.131944444444429,89.275584572239921
,1031,25,0.173611111111091,87.534132690429686
,1033,22,0.152777777777760,89.100917122580782
,1035,33,0.229166666666641,87.460280909682766
,1037,21,0.145833333333317,10.906993752434140
,1039,35,0.243055555555528,87.380151367187494
,1041,22,0.152777777777760,87.735790599476204
,1043,28,0.194444444444422,89.102612904139932
,1045,17,0.118055555555542,87.608875050264245
,1047,35,0.243055555555528,87.966497584751679
,1049,29,0.201388888888866,89.596992492675781
,1051,22,0.152777777777760,84.649505311792552
,1053,32,0.222222222222197,87.273050069808960
,1055,19,0.131944444444429,89.323550174110821
,1057,22,0.152777777777760,73.723426342010498
,1059,24,0.166666666666648,88.936218897501632
,1061,16,0.111111111111098,87.323189258575439
,1063,21,0.145833333333317,88.044970921107705
,1065,24,0.166666666666648,88.059298515319824
,1067,18,0.124999999999986,87.752167595757385
,1069,22,0.152777777777760,87.443622242320671
,1071,42,0.291666666666633,87.753664720626105
,1073,40,0.277777777777746,45.949843657016757
,1075,27,0.187499999999979,91.235303243001297
,1077,24,0.166666666666648,89.260959943135575
,1079,23,0.159722222222204,89.167087057362437
,1081,22,0.152777777777760,88.568397868763313
,1083,26,0.180555555555535,89.427928924560547
,1085,22,0.152777777777760,87.958722894841969
,1087,22,0.152777777777760,88.328127774325282
,1089,29,0.201388888888866,89.545573267443430
,1091,35,0.243055555555528,13.242336123330253
,1093,25,0.173611111111091,88.745656127929692
,1095,24,0.166666666666648,82.602710902690887
,1097,45,0.312499999999964,11.024089368184407
,1099,34,0.236111111111084,87.512570549460023
,1101,28,0.194444444444422,88.096548625401084
,1103,19,0.131944444444429,89.277030141730052
,1105,23,0.159722222222204,88.095294123110563
,1107,32,0.222222222222197,90.534001350402832
,1109,28,0.194444444444422,87.843692779541016
,1111,23,0.159722222222204,46.508307332577914
,1113,22,0.152777777777760,84.655845967206091
,1115,25,0.173611111111091,17.301880550384521
,1117,28,0.194444444444422,85.767481889043538
,1119,31,0.215277777777753,69.464831429143103
,1121,27,0.187499999999979,88.888136121961807
,1123,26,0.180555555555535,54.123292611195488
,1125,46,0.319444444444408,88.376003265380859
,1127,31,0.215277777777753,15.100161090973884
,1129,31,0.215277777777753,89.805431242912050
,1131,33,0.229166666666641,87.742817734227032
,1133,27,0.187499999999979,76.842069820121480
,2013,90,0.624999999999929,0.320911214417881
,2016,117,0.812499999999908,0.380237843491073
,2020,1,0.006944444444444,0.310894191265106
,2050,116,0.805555555555464,0.252789536169891
,2070,35,0.243055555555528,0.283937372480120
,2100,6,0.041666666666662,0.343176474173864
,2105,62,0.430555555555507,0.360715847822928
,2110,6,0.041666666666662,0.365931312243144
,2122,69,0.479166666666612,0.316647897164027
,2130,40,0.277777777777746,0.444629660993814
,2150,88,0.611111111111042,0.311616535552523
,2158,46,0.319444444444408,0.227124648897544
,2164,137,0.951388888888781,0.301268713970254
,2170,2,0.013888888888887,0.271832466125488
,2180,101,0.701388888888809,0.195535467697842
,2185,253,1.756944444444245,0.136086938056079
,2188,84,0.583333333333267,0.184606002555007
,2195,19,0.131944444444429,0.391127815372065
,2198,113,0.784722222222133,0.418955024364775
,2220,32,0.222222222222197,0.379953536204994
,2230,1,0.006944444444444,0.334770143032074
,2240,1,0.006944444444444,0.237941011786461
,2261,107,0.743055555555471,0.315624838398996
,2275,40,0.277777777777746,0.412075192481279
,2282,24,0.166666666666648,0.319202199578285
,2290,7,0.048611111111106,0.197658366390637
,4001,293,2.034722222221991,2.344472578361173
,4003,202,1.402777777777618,66.790869787187859
,4005,494,3.430555555555165,2.073295360152055
,4007,66,0.458333333333281,7.036120010144783
,4009,123,0.854166666666569,66.161113607205024
,4011,22,0.152777777777760,31.605006087910045
,4012,130,0.902777777777675,69.758665187542249
,4013,261,1.812499999999794,70.958974582482114
,4015,441,3.062499999999652,2.234113155849396
,4017,302,2.097222222221984,4.035516478367988
,4019,289,2.006944444444216,67.648535995747395
,4021,170,1.180555555555421,73.215616488456732
,4023,29,0.201388888888866,1.861027577827717
,4025,216,1.499999999999829,7.911909612240614
,4027,113,0.784722222222133,73.353939292705164
,5001,37,0.256944444444415,121.545913077689505
,5003,29,0.201388888888866,125.728643483129048
,5005,21,0.145833333333317,6.852177211216518
,5007,31,0.215277777777753,120.741499131725675
,5009,25,0.173611111111091,6.751801280975342
,5011,18,0.124999999999986,6.492953750822279
,5013,15,0.104166666666655,6.550532881418864
,5015,22,0.152777777777760,115.547900394959882
,5017,25,0.173611111111091,124.393790588378906
,5019,27,0.187499999999979,116.440210607316757
,5021,26,0.180555555555535,126.598940629225510
,5023,23,0.159722222222204,42.976906423983365
,5025,18,0.124999999999986,13.288334422641331
,5027,20,0.138888888888873,58.008899116516112
,5029,19,0.131944444444429,162.764302303916537
,5031,34,0.236111111111084,122.708243426154638
,5033,23,0.159722222222204,120.731333525284484
,5035,22,0.152777777777760,123.516610579057172
