county_fips,production_survey
13127,
13129,49333.333333333336
13131,65100.0
13133,12500.0
13135,
13137,
13139,10500.0
13141,
13143,
13145,11000.0
13147,75472.22222222222
13149,4500.0
13151,27166.666666666668
13153,264333.3333333333
13155,91184.61538461539
13157,29300.0
13159,13666.666666666666
13161,79800.0
13163,554555.5555555555
13165,110260.0
13167,122500.0
13169,
13171,125550.0
13173,7000.0
13175,340550.0
13177,311142.85714285716
13179,
13181,
13183,
13185,16000.0
13187,10000.0
13189,
13191,
13193,281235.29411764705
13195,38168.75
13197,63166.666666666664
13199,27363.636363636364
13201,187486.66666666666
13205,155538.46153846153
13207,24200.0
13209,49544.444444444445
13211,66655.55555555556
13213,40000.0
13215,
13217,35044.444444444445
13219,16960.0
13221,52591.666666666664
13223,
13225,150312.5
13227,
13229,62500.0
13231,23227.272727272728
13233,18000.0
13235,214230.76923076922
13237,41250.0
13239,
13241,
13243,471611.1111111111
13245,24200.0
13247,
13249,29800.0
13251,121594.44444444444
13253,207852.9411764706
13255,69000.0
13257,
13259,48714.28571428572
13261,507846.1538461539
13263,
13265,
13267,83818.18181818182
13269,55343.75
13271,31116.666666666668
13273,421223.5294117647
13275,92284.61538461539
13277,42168.75
13279,59850.0
13281,
13283,33666.666666666664
13285,
13287,122475.0
13289,47100.0
13291,
13293,19285.714285714286
13295,40950.0
13297,31723.076923076922
13299,21150.0
13301,25055.555555555555
13303,237325.0
13305,56375.0
13307,105777.77777777778
13309,65100.0
13311,
13313,
13315,90263.63636363637
13317,10741.666666666666
13319,19972.727272727272
13321,241571.42857142858
16001,579264.7058823529
16003,
16005,1127844.4444444445
16007,67000.0
16009,1783190.4761904762
16011,8182815.0
16013,41500.0
16015,
16017,
16019,1002062.5
16021,885761.1111111111
16023,87666.66666666667
16025,5000.0
16027,2669936.8421052634
16029,1080357.894736842
16031,4850450.0
16033,95428.57142857143
16035,439500.0
16037,
16039,971111.1111111111
16041,736106.6666666666
16043,210555.55555555556
16045,267714.28571428574
16047,377807.14285714284
16049,3920661.904761905
16051,286916.6666666667
16053,1051705.2631578948
16055,600200.0
16057,5528000.0
16059,
16061,4346223.80952381
16063,324666.6666666667
16065,231350.0
16067,1196280.0
16069,5748372.222222222
16071,666900.0
16073,699416.6666666666
16075,466877.77777777775
16077,4185323.8095238097
16079,
16081,98720.0
16083,2804560.0
16085,23000.0
16087,511088.8888888889
17001,834176.9230769231
17003,235517.64705882352
17005,1467153.8461538462
17007,176463.15789473685
17009,148968.75
17011,199093.33333333334
17013,112566.66666666667
17015,111408.33333333333
17017,141541.17647058822
17019,212900.0
17021,188370.58823529413
17023,327695.0
17025,968416.6666666666
17027,2187810.0
17029,119914.28571428571
17031,51700.0
17033,443457.14285714284
17035,173542.1052631579
17037,333419.04761904763
17039,
17041,81958.33333333333
17043,
17045,136441.17647058822
17047,404389.4736842105
17049,749161.1111111111
17051,1217657.142857143
17053,262186.6666666667
17055,831914.2857142857
17057,202269.23076923078
17059,506195.0
17061,273821.05263157893
17063,69142.85714285714
17065,1032625.0
17067,396955.55555555556
17069,
17071,89955.55555555556
17073,94192.85714285714
17075,476515.0
17077,940431.25
17079,497131.25
17081,1043433.3333333334
17083,243742.1052631579
17085,48700.0
17087,72200.0
17089,253642.1052631579
17091,592513.3333333334
17093,159691.66666666666
17095,87744.44444444444
17097,89900.0
17099,234940.0
17101,720014.2857142857
17103,141287.5
17105,591805.5555555555
17107,87709.09090909091
17109,103671.42857142857
17111,376084.2105263158
17113,138123.5294117647
17115,69642.85714285714
17117,617552.9411764706
17119,1548410.0
17121,1090450.0
17123,86841.17647058824
17125,316857.14285714284
17127,179000.0
17129,191750.0
17131,60375.0
17133,1770190.4761904762
17135,830994.4444444445
17137,195477.77777777778
17139,65890.90909090909
17141,303295.0
17143,143250.0
17145,1310411.7647058824
17147,121177.77777777778
17149,452178.94736842107
17151,
17153,282738.8888888889
17155,70425.0
17157,2197261.904761905
17159,817995.0
17161,38733.333333333336
17163,1707709.5238095238
17165,197881.25
17167,82686.66666666667
17169,242536.84210526315
17171,150546.66666666666
17173,748538.8888888889
17175,66425.0
17177,221890.47619047618
17179,222072.22222222222
17181,142113.33333333334
17183,267441.17647058825
17185,444283.3333333333
17187,46700.0
17189,3700714.285714286
17191,1185443.75
17193,1182275.0
17195,185820.0
17197,602326.6666666666
17199,83763.63636363637
17201,279630.0
17203,166972.22222222222
18001,687485.7142857143
18003,1245661.9047619049
18005,457028.5714285714
18007,122650.0
18009,138127.27272727274
18011,261600.0
18013,
18015,336168.75
18017,213117.64705882352
18019,256307.6923076923
18021,138844.44444444444
18023,206076.4705882353
18025,
18027,324360.0
18029,39650.0
18031,373533.3333333333
18033,676563.1578947369
18035,171693.75
18037,368085.71428571426
18039,138300.0
18041,127790.0
18043,3200.0
18045,178466.66666666666
18047,148665.0
18049,133160.0
18051,1509090.4761904762
18053,279015.0
18055,118237.5
18057,166468.42105263157
18059,229614.2857142857
18061,161605.26315789475
18063,236288.23529411765
18065,262675.0
18067,173211.11111111112
18069,445450.0
18071,351731.5789473684
18073,177000.0
18075,700957.1428571428
18077,130711.11111111111
18079,141985.7142857143
18081,203452.63157894736
18083,1061070.0
18085,287915.7894736842
18087,151616.66666666666
18089,191793.75
18091,404711.1111111111
18093,79112.5
18095,153550.0
18097,29400.0
18099,193580.0
18101,67333.33333333333
18103,389710.5263157895
18105,35300.0
18107,205509.52380952382
18109,117016.66666666667
18111,222100.0
18113,267714.28571428574
18115,31600.0
18117,155771.42857142858
18119,102152.94117647059
18121,127100.0
18123,29516.666666666668
18125,168650.0
18127,166470.0
18129,1921555.0
18131,112372.72727272728
18133,201675.0
18135,472521.05263157893
18137,164200.0
18139,345266.6666666667
18141,196107.14285714287
18143,97400.0
18145,328919.04761904763
18147,366462.5
18149,43066.666666666664
18151,258538.88888888888
18153,267100.0
18155,27200.0
18157,280442.85714285716
18159,154750.0
18161,37740.0
18163,498488.23529411765
18165,64625.0
18167,146288.88888888888
18169,519342.85714285716
18171,258400.0
18173,282157.8947368421
18175,131295.0
18177,239550.0
18179,475240.0
18181,176210.52631578947
18183,574566.6666666666
19001,
19003,
19005,
19007,27600.0
19009,
19011,
19013,
19015,
19017,
19019,
19021,
19023,
19025,
19027,
19029,
19031,
19033,
19035,
19037,
19039,9600.0
19041,
19043,2330.0
19045,
19047,57700.0
19049,
19051,40350.0
19053,27000.0
19055,11400.0
19057,45528.88888888889
19059,
19061,
19063,
19065,
19067,
19069,
19071,
19073,
19075,
19077,
19079,
19081,
19083,
19085,21525.0
19087,33325.0
19089,
19091,
19093,
19095,23066.666666666668
19097,31600.0
19099,
19101,76995.0
19103,46308.75
19105,
19107,23680.0
19109,
19111,127120.0
19113,
19115,24210.0
19117,
19119,51400.0
19121,
19123,9000.0
19125,
19127,
19129,16646.666666666668
19131,
19133,22100.0
19135,39690.0
19137,
19139,19670.0
19141,
19143,
19145,20782.5
19147,
19149,
19151,
19153,
19155,19140.0
19157,
19159,9750.0
19161,
19163,
19165,
19167,100300.0
19169,
19171,
19173,27700.0
19175,
19177,60618.0
19179,10600.0
19181,
19183,32865.71428571428
19185,60250.0
19187,
19189,
19191,36400.0
19193,
19195,
19197,
20001,984375.0
20003,856050.0
20005,264726.3157894737
20007,3916337.5
20009,6156380.952380952
20011,324890.0
20013,401245.0
20015,1870585.0
20017,376410.0
20019,137810.52631578947
20021,2689773.6842105263
20023,4833750.0
20025,2179950.0
20027,3613326.3157894737
20029,4896705.882352941
20031,886058.8235294118
20033,1731880.0
20035,2929252.6315789474
20037,1070364.705882353
20039,4318545.0
20041,6362905.0
20043,129000.0
20045,252845.0
20047,3879300.0
20049,163478.94736842104
20051,3667665.0
20053,3620821.052631579
20055,5998670.588235294
20057,6608480.0
20059,517505.2631578947
20061,533180.9523809524
20063,4096080.0
20065,2917678.5714285714
20067,3143326.3157894737
20069,5377835.0
20071,5201620.0
20073,236588.88888888888
20075,3627400.0
20077,7359970.0
20079,4640014.285714285
20081,3598386.6666666665
20083,3606118.75
20085,292075.0
20087,197338.88888888888
20089,5225125.0
20091,194233.33333333334
20093,3623933.3333333335
20095,7011950.0
20097,2598235.294117647
20099,1566684.2105263157
20101,3590888.888888889
20103,161452.38095238095
20105,4173752.9411764704
20107,417027.77777777775
20109,4411182.352941177
20111,668084.2105263158
20113,9455833.333333334
20115,5235909.523809524
20117,3030176.470588235
20119,3058235.294117647
20121,347375.0
20123,7499200.0
20125,1251455.0
20127,1144361.9047619049
20129,2407023.8095238097
20131,1000875.0
20133,1065050.0
20135,4400884.2105263155
20137,3210355.5555555555
20139,499400.0
20141,4569794.736842105
20143,4508157.142857143
20145,5300476.19047619
20147,3477965.0
20149,332319.04761904763
20151,6431833.333333333
20153,5548800.0
20155,8863904.761904761
20157,3427028.5714285714
20159,7033582.352941177
20161,943070.5882352941
20163,3554895.0
20165,3905111.7647058824
20167,3303473.6842105263
20169,5545447.619047619
20171,5268117.647058823
20173,6700419.047619048
20175,2275745.0
20177,215452.38095238095
20179,3937250.0
20181,6175333.333333333
20183,5272745.0
20185,5395944.444444444
20187,4409373.333333333
20189,3191050.0
20191,12542752.38095238
20193,6766466.666666667
20195,2986975.0
20197,259038.88888888888
20199,3239023.529411765
20201,3615170.588235294
20203,5301450.0
20205,1454142.105263158
20207,489238.8888888889
